0.00487894;0.546643;0.103597;0.0352247;0.252484;1000
0.0165496;2.91256;0.542562;0.159293;1.17882;2000
0.036809;8.57816;1.54543;0.401763;3.16209;3000
0.0644918;19.6838;2.93437;0.777166;6.27113;4000
0.0994753;32.7387;5.14754;1.43083;11.1071;5000
0.143502;51.0567;8.14932;2.2573;17.1136;6000
0.196211;71.0887;12.4216;3.21458;24.0347;7000
0.252185;98.2588;16.675;4.44052;32.6383;8000
0.323667;126.266;21.0009;5.9972;41.6719;9000
0.394689;249.844;25.6465;7.14271;50.6209;10000
1.02634;675.964;2120.76;980.501;5503.59;11000
