0.00297154;0.342285;0.0608521;0.0221176;0.153971;1000
0.0112505;1.64621;0.320348;0.100372;0.747;2000
0.0247015;4.49863;0.820592;0.246731;1.81956;3000
0.0433797;9.4451;1.67296;0.452282;3.48274;4000
0.0675463;17.8417;2.75235;0.795316;6.00378;5000
0.0963579;28.0585;4.30445;1.22717;9.55462;6000
0.130644;40.9861;6.59125;1.77384;14.0121;7000
0.16955;55.3335;9.54546;2.68671;21.3919;8000
0.216562;83.672;13.4694;3.55989;27.7473;9000
0.268621;104.46;17.6772;4.56365;33.8733;10000
0.320608;131.528;21.5011;5.62038;41.2002;11000
0.381477;158.552;26.3412;6.8015;48.2388;12000
1.07165;675.364;2001.56;835.003;4861.33;13000
2.0258;1269.02;4225.54;1413.85;9286.34;14000
