0;2
100;107
100;112
101;104
101;111
103;113
104;131
106;108
106;116
108;128
110;121
110;153
111;134
112;136
114;131
115;143
115;173
117;146
117;153
118;123
118;126
119;129
119;147
11;51
11;68
120;132
121;156
122;127
123;175
124;142
125;154
125;184
126;138
130;146
133;145
133;176
135;173
135;203
136;150
137;140
137;156
139;141
139;159
13;19
13;40
140;159
141;152
142;147
143;185
144;155
144;160
145;184
148;155
148;166
149;165
149;176
14;21
150;175
151;152
151;163
154;162
157;158
157;182
158;203
15;23
160;165
161;180
161;195
162;163
164;168
164;181
166;185
167;170
167;186
168;194
169;190
169;192
16;18
16;28
170;182
171;179
171;195
172;210
172;214
174;177
174;187
177;178
178;186
179;192
17;21
180;214
181;183
183;188
187;210
188;196
189;199
189;200
18;30
190;198
191;217
191;226
193;207
193;217
194;198
196;200
197;212
197;213
199;213
1;12
1;49
201;207
201;220
202;226
202;229
204;219
204;234
205;220
205;230
206;221
206;227
208;209
208;223
209;231
20;34
20;37
211;228
211;241
212;224
215;233
215;246
216;225
216;256
218;247
218;266
219;239
221;231
222;245
222;261
223;235
224;229
225;250
227;236
228;254
22;35
22;37
230;243
232;251
232;288
233;258
234;235
236;243
237;242
237;261
238;241
238;248
239;246
23;25
240;275
240;293
242;274
244;276
244;283
245;249
247;274
248;255
249;264
24;27
24;45
250;255
251;269
252;301
252;304
253;256
253;292
254;258
257;263
257;288
259;260
259;275
25;45
260;307
262;263
262;289
264;269
265;268
265;277
266;292
267;268
267;289
26;33
26;51
270;302
270;311
271;280
271;282
272;280
272;307
273;282
273;286
276;277
278;303
278;336
279;285
279;294
27;29
281;284
281;298
283;295
284;286
285;293
287;296
287;344
28;34
290;299
290;313
291;310
291;313
294;299
295;298
296;343
297;300
297;304
29;68
2;5
300;302
301;306
303;325
305;309
305;325
306;322
308;322
308;336
309;321
30;33
310;311
312;333
312;340
314;316
314;323
315;324
315;342
316;324
317;339
317;340
318;328
318;334
319;334
319;365
31;44
31;56
320;352
320;353
321;338
323;329
326;328
326;329
327;333
327;344
32;102
32;66
330;338
330;342
331;388
331;394
332;345
332;383
335;364
335;376
337;350
337;359
339;347
341;352
341;358
343;365
345;362
346;353
346;361
347;361
348;349
348;356
349;357
350;358
351;366
351;397
354;363
354;383
355;369
355;387
356;363
357;360
359;393
35;60
360;379
362;393
364;369
366;388
367;374
367;376
368;371
368;391
36;38
36;44
370;375
370;377
371;397
372;384
372;399
373;381
373;391
374;394
375;405
377;406
378;389
378;396
379;387
380;415
380;417
381;386
382;384
382;396
385;398
385;402
386;392
389;392
38;61
390;425
390;460
395;424
395;433
398;404
399;405
39;70
3;14
3;40
400;410
400;417
401;407
401;420
402;416
403;426
403;436
404;407
406;418
408;427
408;440
409;413
409;422
410;416
411;426
411;440
412;444
412;457
413;430
414;431
414;452
415;431
418;420
419;445
419;454
41;73
41;88
421;441
421;466
422;452
423;427
423;443
424;435
425;435
428;436
428;437
429;446
429;469
42;43
42;63
430;438
432;441
432;475
433;465
434;450
434;462
437;447
438;464
439;447
439;460
43;53
442;457
442;469
443;464
444;453
445;446
448;462
448;479
449;461
449;488
450;455
451;461
451;475
453;465
454;479
455;456
456;459
458;484
458;510
459;477
463;489
463;526
466;473
467;474
467;496
468;472
468;483
46;75
470;473
470;474
471;472
471;478
476;478
476;517
477;488
47;59
47;77
480;485
480;497
481;483
481;503
482;490
482;491
484;493
485;498
486;489
486;503
487;496
487;499
48;84
48;88
490;527
491;529
492;506
492;509
493;530
494;499
494;502
495;522
495;524
497;500
498;504
4;15
4;49
500;529
501;513
501;522
502;517
504;510
505;506
505;513
507;516
507;553
508;523
508;531
509;520
50;102
50;74
511;528
511;560
512;566
512;567
514;515
514;541
515;527
516;521
518;538
518;558
519;540
519;544
520;549
521;523
524;541
525;533
525;551
526;530
528;534
52;55
52;60
531;550
532;546
532;565
533;565
534;552
535;537
535;567
536;547
536;554
537;546
538;545
539;545
539;547
53;66
540;564
542;551
542;564
543;569
543;582
544;560
548;557
548;563
549;550
54;130
54;138
552;553
554;566
555;563
555;572
556;577
556;604
557;575
558;562
559;570
559;603
55;56
561;570
561;577
562;582
568;584
568;594
569;572
571;600
571;608
571;609
573;593
573;599
573;608
574;580
574;584
575;588
576;578
576;592
578;603
579;593
57;70
57;80
580;583
581;590
581;591
583;592
585;605
585;606
586;606
587;588
587;601
587;604
589;599
58;67
58;72
590;600
591;597
591;602
594;599
595;599
595;607
596;605
598;606
59;84
5;10
602;606
61;80
62;81
62;86
63;85
64;81
64;83
65;72
65;74
67;73
69;113
69;122
6;17
6;8
71;105
71;78
75;85
76;105
76;79
77;82
78;83
79;82
7;39
7;46
86;87
87;127
89;107
89;94
8;10
90;109
90;132
91;129
91;134
92;109
92;98
93;103
93;128
94;124
95;96
95;97
96;116
97;98
99;114
99;120
9;12
9;19
